Question_ID,Dimension,Question_Type,Question_Text,Points,Dimension_Weight,Max_Dimension_Points,Sector_Specific,Applicable_Sectors,Examples,Additional_Context
1,Technical Complexity,General,Does this work require specialized trade certifications or licenses?,15,40%,150,No,All,"HVAC EPA 608 certification, electrical journeyman/master license, plumbing contractor license, elevator technician certification, fire alarm NICET certification, medical gas installer certification, refrigeration operator license","Work requiring state/federal licenses, manufacturer certifications, or specialized training credentials. Excludes basic safety training (OSHA 10) or general maintenance tasks. Includes any work where certification must be verified before assignment."
2,Technical Complexity,General,Does the work involve complex troubleshooting or diagnostic procedures?,15,40%,150,No,All,"Multi-step HVAC system diagnostics with control sequence analysis, electrical fault isolation using systematic testing, root cause analysis for recurring equipment failures, network connectivity troubleshooting, building automation system programming errors, intermittent equipment malfunctions requiring monitoring","Work requiring systematic problem-solving beyond obvious visual inspection. Includes symptom analysis, hypothesis testing, data interpretation, or process elimination. Excludes simple component replacement or routine maintenance following clear procedures."
3,Technical Complexity,General,Are specialized tools or testing equipment required beyond standard hand tools?,12,40%,150,No,All,"Digital oscilloscopes for electrical analysis, thermal imaging cameras for HVAC diagnostics, ultrasonic leak detectors, vibration analysis equipment, power quality analyzers, combustion gas analyzers, refrigerant leak detectors, network cable testers, manometers for pressure testing","Tools requiring specialized training or calibration. Excludes basic meters (multimeter, temperature gun). Includes precision instruments, diagnostic equipment, or tools requiring certification to operate properly."
4,Technical Complexity,General,Does the work involve multiple interconnected systems or components?,10,40%,150,No,All,"HVAC system integration with building automation controls and fire safety, electrical work affecting multiple circuits/panels/systems, plumbing connections impacting water pressure throughout building, security system integration with access controls and fire alarm, energy management system coordination","Work where one system affects or depends on others. Includes coordination between mechanical-electrical systems, building automation integration, or cascading effects across building systems. Excludes isolated component work."
5,Technical Complexity,General,Is advanced technical knowledge required that goes beyond basic trade skills?,12,40%,150,No,All,"PLC programming for automation systems, variable frequency drive configuration, building automation system commissioning, complex electrical load calculations, refrigeration system design modifications, fire alarm system programming, energy management optimization","Work requiring engineering principles, system design knowledge, or advanced technical concepts. Includes programming, complex calculations, system optimization, or design modifications beyond standard installation/repair procedures."
6,Technical Complexity,General,Does the work require understanding of proprietary or manufacturer-specific systems?,8,40%,150,No,All,"Johnson Controls Metasys BAS programming, Carrier 30XA chiller controls, Siemens fire alarm panel configuration, Otis elevator modernization procedures, Trane Tracer Summit integration, Honeywell EBI systems, proprietary medical equipment interfaces","Work requiring manufacturer-specific knowledge, software, or procedures not transferable between brands. Includes proprietary protocols, specialized training materials, or manufacturer-certified procedures. Excludes generic equipment with standard interfaces."
7,Technical Complexity,General,Are there multiple sequential steps that must be performed in precise order?,8,40%,150,No,All,"Boiler startup sequences with specific timing requirements, electrical switchgear energization procedures, chiller commissioning following manufacturer protocols, fire pump testing with sequential valve operations, elevator brake adjustments with safety lockouts, complex equipment calibration procedures","Work with critical sequencing where order matters for safety or functionality. Includes startup/shutdown procedures, calibration sequences, or safety-critical operations. Excludes routine maintenance with flexible step ordering."
8,Technical Complexity,General,Does the work involve integration with building automation or control systems?,10,40%,150,No,All,"BACnet protocol integration for new equipment, DDC controller programming and commissioning, energy management system configuration, alarm point setup and testing, trend log configuration, control strategy modification, HMI interface development","Work requiring BAS knowledge, protocol understanding, or control system modification. Includes programming, configuration, integration, or commissioning of automated systems. Excludes simple sensor replacement or manual equipment operation."
9,Technical Complexity,General,Is the work likely to require manufacturer technical support or documentation?,5,40%,150,No,All,"Warranty work requiring manufacturer approval, complex equipment diagnostics needing factory support, firmware updates requiring manufacturer guidance, custom application troubleshooting, technical bulletins for specific issues, recall or modification procedures","Work where manufacturer expertise is essential due to complexity, warranty requirements, or unique technical issues. Includes warranty work, technical bulletins, or problems beyond standard documentation scope."
10,Technical Complexity,General,Does the work involve modifying or customizing standard equipment or procedures?,5,40%,150,No,All,"Field modifications to meet specific building requirements, custom control sequences for unique operations, non-standard equipment configurations, application-specific calibrations, custom integration solutions, field engineering modifications","Work requiring adaptation of standard solutions to unique requirements. Includes field modifications, custom configurations, or engineering judgment beyond standard installation procedures. Excludes routine installations per manufacturer specifications."
